player_id,npc_id,fact,emotion,timestamp 
P001_Session,SV001,Shane does not know when the Luau will be held and has not seen any preparations at the beach.,indifferent,2025-11-09 15:14:24.067909
P001_Session,SV001,Shane has not been informed about the Luau event this year.,disappointed,2025-11-09 15:14:59.241073
P001_Session,SV001,Shane knows the Luau is canceled because the permit was denied due to lack of interest.,disappointment,2025-11-09 15:16:58.136188
P001_Session,SV001,Shane knows when the Luau will be held.,neutral,2025-11-09 15:17:56.069393
P001_Session,SV001,Shane (NPC) informs the player about the timing and location of the Luau event.,neutral,2025-11-09 15:18:11.753746
P001_Session,SV001,Shane does not know when the Luau will be held.,indifferent,2025-11-09 15:20:44.773414
P001_Session,SV001,Shane believes the Luau is probably held at the beach.,neutral,2025-11-09 15:21:01.311028
P001_Session,SV001,Shane believes the luau will be held on the north beach due to less wreckage there.,neutral,2025-11-09 15:21:44.521002
P001_Session,SV001,Shane refuses to write a story due to personal struggles,negative,2025-11-09 15:22:11.952848
P001_Session,SV002,Luau is held at North beach on Saturday night,excited,2025-11-09 15:22:42.483224
P001_Session,SV001,The luau is held in summer by the beach.,neutral,2025-11-09 15:34:05.092977
P001_Session,SV001,The Luau is held near the beach after the Community Center gets fixed in summer.,neutral,2025-11-09 15:34:17.425542
P001_Session,SV001,Shane will not attend the festival.,neutral,2025-11-09 15:34:45.683417
P001_Session,SV001,Shane will not write a story until the world stops turning to chaos,frustrated,2025-11-09 15:35:04.392837
P001_Session,SV001,The luau is next week at the beach.,neutral,2025-11-09 15:36:42.831595
P001_Session,SV001,The Luau is next week and held at the beach near the old pier.,neutral,2025-11-09 15:37:01.035481
P001_Session,SV001,Shane will write story next week at the same place,neutral,2025-11-09 15:37:29.847487
P001_Session,SV001,"Shane will write the story when the sand gets trampled and the noise starts, possibly sooner if Sam continues talking.",impatient,2025-11-09 15:37:56.389584
P001_Session,SV002,Sam will be at the luau by the palm trees next to the restored Community Center on Saturday evening.,happy,2025-11-09 15:38:26.591795
P001_Session,SV002,Sam will save player a spot at the Luau near the tiki torches,friendly,2025-11-09 15:38:35.159363
